,2024-08-31,2024-05-31,2024-02-29,2023-11-30,2023-08-31,2023-05-31
Tax Effect Of Unusual Items,2160000.0,720000.0,-353520000.0,-3595132.743363,1200000.0,
Tax Rate For Calcs,0.18,0.18,0.36,0.179757,0.2,
Normalized EBITDA,2294000000.0,2181000000.0,2189000000.0,2078000000.0,1982000000.0,
Total Unusual Items,12000000.0,4000000.0,-982000000.0,-20000000.0,6000000.0,
Total Unusual Items Excluding Goodwill,12000000.0,4000000.0,-982000000.0,-20000000.0,6000000.0,
Net Income From Continuing Operation Net Minority Interest,1684000000.0,1573000000.0,620000000.0,1483000000.0,1403000000.0,
Reconciled Depreciation,213000000.0,214000000.0,212000000.0,222000000.0,218000000.0,
Reconciled Cost Of Revenue,384000000.0,426000000.0,420000000.0,454000000.0,404000000.0,
EBITDA,2306000000.0,2185000000.0,1207000000.0,2058000000.0,1988000000.0,
EBIT,2093000000.0,1971000000.0,995000000.0,1836000000.0,1770000000.0,
Net Interest Income,-51000000.0,-41000000.0,-27000000.0,241000000.0,-27000000.0,
Interest Expense,51000000.0,41000000.0,27000000.0,28000000.0,27000000.0,
Normalized Income,1674160000.0,1569720000.0,1248480000.0,1499404867.256637,1398200000.0,
Net Income From Continuing And Discontinued Operation,1684000000.0,1573000000.0,620000000.0,1483000000.0,1403000000.0,
Total Expenses,3416000000.0,3424000000.0,3275000000.0,3305000000.0,3193000000.0,
Total Operating Income As Reported,1992000000.0,1885000000.0,907000000.0,1743000000.0,1697000000.0,
Diluted Average Shares,448000000.0,451000000.0,456000000.0,459000000.0,459000000.0,
Basic Average Shares,445000000.0,449000000.0,453000000.0,455000000.0,456000000.0,
Diluted EPS,3.76,3.49,1.36,3.23,3.05,
Basic EPS,3.78,3.5,1.37,3.26,3.07,
Diluted NI Availto Com Stockholders,1684000000.0,1573000000.0,620000000.0,1483000000.0,1403000000.0,
Net Income Common Stockholders,1684000000.0,1573000000.0,620000000.0,1483000000.0,1403000000.0,
Net Income,1684000000.0,1573000000.0,620000000.0,1483000000.0,1403000000.0,
Net Income Including Noncontrolling Interests,1684000000.0,1573000000.0,620000000.0,1483000000.0,1403000000.0,
Net Income Continuous Operations,1684000000.0,1573000000.0,620000000.0,1483000000.0,1403000000.0,
Tax Provision,358000000.0,357000000.0,348000000.0,325000000.0,340000000.0,
Pretax Income,2042000000.0,1930000000.0,968000000.0,1808000000.0,1743000000.0,
Other Income Expense,101000000.0,86000000.0,-912000000.0,-176000000.0,73000000.0,
Other Non Operating Income Expenses,89000000.0,82000000.0,70000000.0,-156000000.0,67000000.0,
Special Income Charges,0.0,0.0,-1000000000.0,,0.0,0.0
Other Special Charges,,,1000000000.0,,,
Restructuring And Mergern Acquisition,0.0,0.0,1000000000.0,,0.0,0.0
Gain On Sale Of Security,12000000.0,4000000.0,18000000.0,-20000000.0,6000000.0,
Net Non Operating Interest Income Expense,-51000000.0,-41000000.0,-27000000.0,241000000.0,-27000000.0,
Interest Expense Non Operating,51000000.0,41000000.0,27000000.0,28000000.0,27000000.0,
Operating Income,1992000000.0,1885000000.0,1907000000.0,1743000000.0,1697000000.0,
Operating Expense,2862000000.0,2826000000.0,2685000000.0,2671000000.0,2613000000.0,
Depreciation Amortization Depletion Income Statement,43000000.0,42000000.0,42000000.0,42000000.0,42000000.0,
Depreciation And Amortization In Income Statement,43000000.0,42000000.0,42000000.0,42000000.0,42000000.0,
Amortization,43000000.0,42000000.0,42000000.0,42000000.0,42000000.0,
Amortization Of Intangibles Income Statement,43000000.0,42000000.0,42000000.0,42000000.0,42000000.0,
Research And Development,1022000000.0,984000000.0,939000000.0,889000000.0,881000000.0,
Selling General And Administration,1797000000.0,1800000000.0,1704000000.0,1740000000.0,1690000000.0,
Selling And Marketing Expense,1431000000.0,1445000000.0,1352000000.0,1368000000.0,1337000000.0,
General And Administrative Expense,366000000.0,355000000.0,352000000.0,372000000.0,353000000.0,
Other Gand A,366000000.0,355000000.0,352000000.0,372000000.0,353000000.0,
Gross Profit,4854000000.0,4711000000.0,4592000000.0,4414000000.0,4310000000.0,
Cost Of Revenue,554000000.0,598000000.0,590000000.0,634000000.0,580000000.0,
Total Revenue,5408000000.0,5309000000.0,5182000000.0,5048000000.0,4890000000.0,
Operating Revenue,5408000000.0,5309000000.0,5182000000.0,5048000000.0,4890000000.0,
